iter	Passed	Remaining
404	8225	32394
405	8248	32386
406	8268	32363
407	8287	32336
408	8306	32310
409	8327	32292
410	8345	32263
411	8364	32238
412	8383	32215
413	8402	32188
414	8420	32161
415	8442	32145
416	8459	32115
417	8478	32090
418	8498	32066
419	8517	32041
420	8539	32027
421	8555	31993
422	8575	31970
423	8594	31945
424	8613	31921
425	8633	31898
426	8652	31874
427	8671	31850
428	8690	31824
429	8709	31798
430	8726	31766
431	8747	31750
432	8765	31722
433	8784	31698
434	8802	31667
435	8823	31651
436	8845	31637
437	8864	31611
438	8882	31584
439	8901	31560
440	8920	31536
441	8939	31511
442	8961	31495
443	8978	31464
444	8996	31438
445	9015	31413
446	9034	31389
447	9051	31355
448	9068	31326
449	9089	31307
450	9108	31284
451	9131	31274
452	9151	31252
453	9173	31237
454	9193	31216
455	9211	31190
456	9234	31179
457	9258	31170
458	9281	31160
459	9302	31142
460	9324	31127
461	9343	31105
462	9366	31092
463	9386	31072
464	9406	31050
465	9429	31039
466	9449	31019
467	9469	30997
468	9489	30976
469	9507	30950
470	9526	30926
471	9546	30906
472	9564	30878
473	9584	30854
474	9604	30835
475	9626	30820
476	9650	30812
477	9670	30791
478	9692	30777
479	9718	30773
480	9741	30764
481	9761	30743
482	9782	30723
483	9806	30715
484	9825	30693
485	9844	30669
486	9866	30651
487	9889	30640
488	9907	30613
489	9927	30593
490	9947	30573
491	9967	30550
492	9987	30529
493	10006	30505
494	10026	30485
495	10047	30466
496	10066	30441
497	10086	30422
498	10109	30408
499	10129	30388
500	10148	30364
501	10171	30351
502	10191	30331
503	10211	30311
504	10233	30295
505	10252	30271
506	10275	30258
507	10296	30240
508	10318	30225
509	10344	30222
510	10364	30201
511	10385	30182
512	10405	30160
513	10424	30137
514	10443	30113
515	10463	30094
516	10483	30071
517	10503	30051
518	10522	30026
519	10540	29999
520	10560	29978
521	10582	29962
522	10601	29940
523	10621	29919
524	10642	29901
525	10663	29881
526	10681	29856
527	10702	29838
528	10725	29824
529	10745	29802
530	10768	29789
531	10790	29775
532	10813	29762
533	10834	29743
534	10852	29718
535	10873	29700
536	10895	29682
537	10914	29658
538	10932	29632
539	10949	29604
540	10972	29590
541	10992	29570
542	11015	29557
543	11037	29541
544	11055	29515
545	11074	29491
546	11092	29465
547	11111	29441
548	11130	29416
549	11149	29394
550	11168	29369
551	11186	29345
552	11206	29322
553	11227	29304
554	11254	29302
555	11273	29278
556	11295	29261
557	11317	29247
558	11340	29233
559	11360	29212
560	11380	29190
561	11401	29173
562	11423	29158
563	11445	29141
564	11466	29122
565	11489	29108
566	11510	29089
567	11532	29074
568	11553	29056
569	11574	29039
570	11596	29022
571	11623	29017
572	11647	29006
573	11668	28989
574	11688	28968
575	11709	28947
576	11731	28932
577	11752	28914
578	11774	28896
579	11794	28877
580	11813	28852
581	11833	28831
582	11856	28818
583	11879	28803
584	11901	28786
585	11921	28765
586	11941	28745
587	11966	28734
588	11986	28714
589	12006	28693
590	12026	28671
591	12045	28647
592	12064	28625
593	12085	28606
594	12105	28584
595	12124	28562
596	12144	28540
597	12164	28520
598	12190	28511
599	12210	28490
600	12231	28472
601	12251	28450
602	12269	28424
603	12290	28407
604	12312	28389
605	12334	28373
